"filename", "language", "Python", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\admin.py", "Python", 16, 0, 0, 0, 1, 6, 23
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\apps.py", "Python", 3, 0, 0, 0, 0, 3, 6
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\forms.py", "Python", 44, 0, 0, 0, 0, 8, 52
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0001_initial.py", "Python", 28, 0, 0, 0, 1, 7, 36
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0002_auto_20200129_1337.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0003_comment.py", "Python", 24, 0, 0, 0, 1, 6, 31
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0004_post_tags.py", "Python", 14, 0, 0, 0, 1, 6, 21
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0005_auto_20200410_1134.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0006_post_image.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0007_auto_20200413_1235.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0008_auto_20200413_1240.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\0009_auto_20200413_1703.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\models.py", "Python", 45, 0, 0, 0, 0, 14, 59
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\static\css\basic.css", "CSS", 0, 32, 0, 0, 0, 9, 41
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\static\js\scripts.js", "JavaScript", 0, 0, 0, 25, 2, 4, 31
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\templates\blog\base.html", "HTML", 0, 0, 48, 0, 0, 2, 50
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\templates\blog\pagination.html", "HTML", 0, 0, 11, 0, 0, 1, 12
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\templates\blog\post\create.html", "HTML", 0, 0, 11, 0, 0, 2, 13
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\templates\blog\post\delete.html", "HTML", 0, 0, 13, 0, 0, 2, 15
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\templates\blog\post\detail.html", "HTML", 0, 0, 53, 0, 0, 8, 61
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\templates\blog\post\latest_posts.html", "HTML", 0, 0, 7, 0, 0, 0, 7
"c:\Users\Avaaren\Desktop\diplom\old_blog-master\mysite\blog\templates\blog\post\list.html", "HTML", 0, 0, 39, 0, 0, 8, 47
